 WARN [2014-12-11 13:08:54,686] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2014-12-11 13:08:54,694] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2014-12-11 13:08:54,694] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2014-12-11 13:11:38,726] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2014-12-11 13:11:38,730] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2014-12-11 13:11:38,731] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2014-12-19 08:43:10,392] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2014-12-19 08:43:10,403] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2014-12-19 08:43:10,403] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-01-13 10:30:42,120] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-01-13 10:30:42,126] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-01-13 10:30:42,127] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-01-13 10:32:26,200] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-01-13 10:32:26,205] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-01-13 10:32:26,206] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-02-06 11:26:51,232] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-02-06 11:26:51,237] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-02-06 11:26:51,238] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-02-23 16:47:43,006] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-02-23 16:47:43,010] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-02-23 16:47:43,011] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-13 09:51:52,951] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-13 09:51:52,958] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-13 09:51:52,959] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-13 09:54:42,524] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-13 09:54:42,529] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-13 09:54:42,529] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-18 11:26:17,040] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-18 11:26:17,049] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-18 11:26:17,049] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
 WARN [2015-03-18 11:29:24,717] (ConnectionFactory.java:clearCache:217) - No cached connections
 WARN [2015-03-18 11:29:24,725] (DescribeObjectRegistry.java:clearCache:661) - No cached describes
 WARN [2015-03-18 11:29:24,725] (MetadataFactory.java:clearCache:126) - No cached metadata stubs
